predicted_phred,program,nfrags,fraglen,qual_shift,n_matches,n_mismatches,n_total,observed_phred_mean,observed_phred_lower,observed_phred_higher,alpha
5,ClipAndMerge,100000000,120,-10,9463314,4374959,13838273,5.001079066884834,4.996658540059741,5.005504097789606,0.01
6,ClipAndMerge,100000000,120,-10,27191915,9114821,36306736,6.002390630517615,5.999185148623491,6.005598480091878,0.01
8,ClipAndMerge,100000000,120,-10,2568547,483392,3051939,8.002763903173369,7.988028212287205,8.01754976279889,0.01
11,ClipAndMerge,100000000,120,-10,214344,29655,243999,9.15290118070311,9.09243849595301,9.214217528553101,0.01
12,ClipAndMerge,100000000,120,-10,69066,4968,74034,11.732496274439574,11.581845002015374,11.888561826205866,0.01
13,ClipAndMerge,100000000,120,-10,875854,60739,936593,11.880832701197226,11.837158753482516,11.924950312539789,0.01
14,ClipAndMerge,100000000,120,-10,2815481,119072,2934553,13.917323092292914,13.885684365980985,13.949194001955668,0.01
15,ClipAndMerge,100000000,120,-10,10500787,342468,10843255,15.005396736496932,14.986625901099654,15.024249054465477,0.01
16,ClipAndMerge,100000000,120,-10,4665306,122345,4787651,15.925362593252572,15.893905881824155,15.957048814552925,0.01
17,ClipAndMerge,100000000,120,-10,10312468,212878,10525346,16.941055999742762,16.91712273726152,16.965121885744743,0.01
18,ClipAndMerge,100000000,120,-10,10312610,169639,10482249,17.909287682278606,17.882431017718915,17.936311461765687,0.01
19,ClipAndMerge,100000000,120,-10,16205166,209269,16414435,18.94521039484202,18.92098054857623,18.969576181310796,0.01
20,ClipAndMerge,100000000,120,-10,3387554,34029,3421583,20.023778926772735,19.963854114066166,20.084542176318845,0.01
21,ClipAndMerge,100000000,120,-10,17362331,145001,17507332,20.818489702000488,20.789332138486518,20.847844346802074,0.01
22,ClipAndMerge,100000000,120,-10,11733625,74863,11808488,21.97927065895858,21.93870515465705,22.02021864286258,0.01
23,ClipAndMerge,100000000,120,-10,64374606,334549,64709155,22.865059925866554,22.845812032659506,22.88439350546909,0.01
24,ClipAndMerge,100000000,120,-10,122666083,543506,123209589,23.554401660500233,23.539287525818228,23.569568578508576,0.01
25,ClipAndMerge,100000000,120,-10,34648894,174381,34823275,23.003704486624482,22.977064805258493,23.03050858520691,0.01
26,ClipAndMerge,100000000,120,-10,59737478,204938,59942416,24.66111749763057,24.636518583416553,24.685856536843858,0.01
27,ClipAndMerge,100000000,120,-10,94853749,228938,95082687,26.18383561716151,26.160546447914843,26.207250348897876,0.01
28,ClipAndMerge,100000000,120,-10,3050503953,5444444,3055948397,27.491924812960793,27.487137431649387,27.496717477395848,0.01
0,ClipAndMerge,100000000,120,-20,0,53502977,53502977,0.0,0.0,0.0,0.01
1,ClipAndMerge,100000000,120,-20,54637,211457,266094,0.9981301554976578,0.9871207048138496,1.0091675863010414,0.01
2,ClipAndMerge,100000000,120,-20,26915,46418,73333,1.9861302783985995,1.9547874948724633,2.0177009063308606,0.01
3,ClipAndMerge,100000000,120,-20,490678,492309,982987,3.00309999056714,2.9918502035983026,3.014378994222989,0.01
4,ClipAndMerge,100000000,120,-20,1516064,1003573,2519637,3.997890085928915,3.9892367423704473,4.006560705755035,0.01
5,ClipAndMerge,100000000,120,-20,6375666,2945558,9321224,5.003053660043831,4.997666318456254,5.008447692828758,0.01
6,ClipAndMerge,100000000,120,-20,3189495,1068772,4258267,6.003478213919811,5.994123391443735,6.012853230446917,0.01
7,ClipAndMerge,100000000,120,-20,7402189,1843678,9245867,7.002625684817493,6.995260277047129,7.010003605158731,0.01
8,ClipAndMerge,100000000,120,-20,7860204,1478420,9338624,8.004850607706036,7.996418109699936,8.013299510566888,0.01
9,ClipAndMerge,100000000,120,-20,12929435,1861774,14791209,9.000767126856696,8.993108641847694,9.008439140939297,0.01
10,ClipAndMerge,100000000,120,-20,2747881,306832,3054713,9.980697622426206,9.961585502451104,9.999894221554435,0.01
11,ClipAndMerge,100000000,120,-20,14891179,1322641,16213820,10.884433662356162,10.875121799044425,10.893765534476351,0.01
12,ClipAndMerge,100000000,120,-20,9981484,676913,10658397,11.971590379155778,11.958452371558085,11.984768251667449,0.01
13,ClipAndMerge,100000000,120,-20,56375306,3013558,59388864,12.946254636307682,12.939980704032749,12.95253764518402,0.01
14,ClipAndMerge,100000000,120,-20,112024679,4879082,116903761,13.794903662875438,13.789948850877725,13.799864134214129,0.01
