program,filename,nfrags,fraglen,total_sequences,total_reads,dropped_reads,incorrect_length,correct_len_incorrect_seq,perfectly_reconstructed,dropped_reads_percentage,incorrect_length_percentage,correct_len_incorrect_seq_percentage,perfectly_reconstructed_percentage,divergent_reads,
leeHom,gen_n1000000_l170_merged.fq.gz,1000000,170,999923,999939,-16,462,133920,865557,-0.002,0.046,13.392,86.556,134382,
leeHom,gen_n1000000_l171_merged.fq.gz,1000000,171,999914,999938,-24,483,136174,863281,-0.002,0.048,13.617,86.328,136657,
leeHom,gen_n1000000_l172_merged.fq.gz,1000000,172,999922,999924,-2,508,138948,860468,-0.0,0.051,13.895,86.047,139456,
leeHom,gen_n1000000_l173_merged.fq.gz,1000000,173,999927,999936,-9,536,141097,858303,-0.001,0.054,14.11,85.83,141633,
leeHom,gen_n1000000_l174_merged.fq.gz,1000000,174,999914,999911,3,549,142873,856489,0.0,0.055,14.287,85.649,143422,
leeHom,gen_n1000000_l175_merged.fq.gz,1000000,175,999925,999927,-2,560,144924,854443,-0.0,0.056,14.492,85.444,145484,
leeHom,gen_n1000000_l176_merged.fq.gz,1000000,176,999930,999910,20,628,147663,851619,0.002,0.063,14.766,85.162,148291,
leeHom,gen_n1000000_l177_merged.fq.gz,1000000,177,999920,999918,2,614,149913,849391,0.0,0.061,14.991,84.939,150527,
leeHom,gen_n1000000_l178_merged.fq.gz,1000000,178,999916,999910,6,631,152173,847106,0.001,0.063,15.217,84.711,152804,
leeHom,gen_n1000000_l179_merged.fq.gz,1000000,179,999920,999908,12,621,154613,844674,0.001,0.062,15.461,84.467,155234,
leeHom,gen_n1000000_l17_merged.fq.gz,1000000,17,999905,1000000,-95,0,3728,996272,-0.009,0.0,0.373,99.627,3728,
leeHom,gen_n1000000_l180_merged.fq.gz,1000000,180,999915,999904,11,670,156739,842495,0.001,0.067,15.674,84.249,157409,
leeHom,gen_n1000000_l181_merged.fq.gz,1000000,181,999924,999897,27,712,159300,839885,0.003,0.071,15.93,83.989,160012,
leeHom,gen_n1000000_l182_merged.fq.gz,1000000,182,999910,999898,12,705,161471,837722,0.001,0.071,16.147,83.772,162176,
leeHom,gen_n1000000_l183_merged.fq.gz,1000000,183,999924,999903,21,776,163394,835733,0.002,0.078,16.339,83.573,164170,
leeHom,gen_n1000000_l184_merged.fq.gz,1000000,184,999926,999884,42,812,166104,832968,0.004,0.081,16.61,83.297,166916,
leeHom,gen_n1000000_l185_merged.fq.gz,1000000,185,999927,999887,40,880,168681,830326,0.004,0.088,16.868,83.033,169561,
leeHom,gen_n1000000_l186_merged.fq.gz,1000000,186,999915,999874,41,916,171169,827789,0.004,0.092,17.117,82.779,172085,
leeHom,gen_n1000000_l187_merged.fq.gz,1000000,187,999925,999885,40,977,173357,825551,0.004,0.098,17.336,82.555,174334,
leeHom,gen_n1000000_l188_merged.fq.gz,1000000,188,999917,999886,31,1052,175623,823211,0.003,0.105,17.562,82.321,176675,
leeHom,gen_n1000000_l189_merged.fq.gz,1000000,189,999930,999863,67,1041,177568,821254,0.007,0.104,17.757,82.125,178609,
leeHom,gen_n1000000_l18_merged.fq.gz,1000000,18,999914,1000000,-86,0,3845,996155,-0.009,0.0,0.385,99.615,3845,
leeHom,gen_n1000000_l190_merged.fq.gz,1000000,190,999924,999849,75,1089,180567,818193,0.007,0.109,18.057,81.819,181656,
leeHom,gen_n1000000_l191_merged.fq.gz,1000000,191,999921,999877,44,1056,182928,815893,0.004,0.106,18.293,81.589,183984,
leeHom,gen_n1000000_l192_merged.fq.gz,1000000,192,999907,999859,48,1138,186330,812391,0.005,0.114,18.633,81.239,187468,
leeHom,gen_n1000000_l193_merged.fq.gz,1000000,193,999920,999868,52,1162,187633,811073,0.005,0.116,18.763,81.107,188795,
leeHom,gen_n1000000_l194_merged.fq.gz,1000000,194,999925,999834,91,1174,189354,809306,0.009,0.117,18.935,80.931,190528,
leeHom,gen_n1000000_l195_merged.fq.gz,1000000,195,999921,999840,81,1190,192841,805809,0.008,0.119,19.284,80.581,194031,
leeHom,gen_n1000000_l196_merged.fq.gz,1000000,196,999940,999842,98,1238,195934,802670,0.01,0.124,19.593,80.267,197172,
leeHom,gen_n1000000_l197_merged.fq.gz,1000000,197,999919,999806,113,1282,198577,799947,0.011,0.128,19.858,79.995,199859,
leeHom,gen_n1000000_l198_merged.fq.gz,1000000,198,999913,999791,122,1336,200777,797678,0.012,0.134,20.078,79.768,202113,
leeHom,gen_n1000000_l199_merged.fq.gz,1000000,199,999921,999803,118,1267,203793,794743,0.012,0.127,20.379,79.474,205060,
leeHom,gen_n1000000_l19_merged.fq.gz,1000000,19,999898,1000000,-102,0,4030,995970,-0.01,0.0,0.403,99.597,4030,
leeHom,gen_n1000000_l1_merged.fq.gz,1000000,1,999924,1000000,-76,0,458,999542,-0.008,0.0,0.046,99.954,458,
leeHom,gen_n1000000_l200_merged.fq.gz,1000000,200,999912,999804,108,1350,205924,792530,0.011,0.135,20.592,79.253,207274,
leeHom,gen_n1000000_l201_merged.fq.gz,1000000,201,999934,999770,164,1410,208424,789936,0.016,0.141,20.842,78.994,209834,
