program,filename,nfrags,fraglen,total_sequences,total_reads,dropped_reads,incorrect_length,correct_len_incorrect_seq,perfectly_reconstructed,dropped_reads_percentage,incorrect_length_percentage,correct_len_incorrect_seq_percentage,perfectly_reconstructed_percentage,divergent_reads,
AdapterRemoval,gen_n1000000_l206_merged.fq,1000000,206,999928,999859,69,22907,217481,759471,0.007,2.291,21.748,75.947,240388,
AdapterRemoval,gen_n1000000_l207_merged.fq,1000000,207,999924,999849,75,23586,219798,756465,0.007,2.359,21.98,75.647,243384,
AdapterRemoval,gen_n1000000_l208_merged.fq,1000000,208,999926,999749,177,23749,223271,752729,0.018,2.375,22.327,75.273,247020,
AdapterRemoval,gen_n1000000_l209_merged.fq,1000000,209,999910,999647,263,24334,226043,749270,0.026,2.433,22.604,74.927,250377,
AdapterRemoval,gen_n1000000_l20_merged.fq,1000000,20,999917,1000000,-83,0,4374,995626,-0.008,0.0,0.437,99.563,4374,
AdapterRemoval,gen_n1000000_l210_merged.fq,1000000,210,999916,999573,343,24782,227837,746954,0.034,2.478,22.784,74.695,252619,
AdapterRemoval,gen_n1000000_l211_merged.fq,1000000,211,999931,999386,545,24934,231200,743252,0.054,2.493,23.12,74.325,256134,
AdapterRemoval,gen_n1000000_l212_merged.fq,1000000,212,999910,999201,709,25392,233668,740141,0.071,2.539,23.367,74.014,259060,
AdapterRemoval,gen_n1000000_l213_merged.fq,1000000,213,999900,999102,798,25458,235346,738298,0.08,2.546,23.535,73.83,260804,
AdapterRemoval,gen_n1000000_l214_merged.fq,1000000,214,999937,998868,1069,26287,238661,733920,0.107,2.629,23.866,73.392,264948,
AdapterRemoval,gen_n1000000_l215_merged.fq,1000000,215,999920,998606,1314,26615,241599,730392,0.131,2.662,24.16,73.039,268214,
AdapterRemoval,gen_n1000000_l216_merged.fq,1000000,216,999907,998439,1468,26907,243450,728082,0.147,2.691,24.345,72.808,270357,
AdapterRemoval,gen_n1000000_l217_merged.fq,1000000,217,999922,998125,1797,27437,247005,723683,0.18,2.744,24.701,72.368,274442,
