program,filename,nfrags,fraglen,total_sequences,total_reads,dropped_reads,incorrect_length,correct_len_incorrect_seq,perfectly_reconstructed,dropped_reads_percentage,incorrect_length_percentage,correct_len_incorrect_seq_percentage,perfectly_reconstructed_percentage,divergent_reads,
fastp,gen_n1000000_l165_merged.fq,1000000,165,999917,1000000,-83,3254,189845,806901,-0.008,0.325,18.985,80.69,193099,
fastp,gen_n1000000_l166_merged.fq,1000000,166,999915,1000000,-85,3179,191401,805420,-0.009,0.318,19.14,80.542,194580,
fastp,gen_n1000000_l167_merged.fq,1000000,167,999913,1000000,-87,3618,193403,802979,-0.009,0.362,19.34,80.298,197021,
fastp,gen_n1000000_l168_merged.fq,1000000,168,999917,1000000,-83,3545,194314,802141,-0.008,0.354,19.431,80.214,197859,
fastp,gen_n1000000_l169_merged.fq,1000000,169,999922,1000000,-78,3639,195916,800445,-0.008,0.364,19.592,80.044,199555,
fastp,gen_n1000000_l16_merged.fq,1000000,16,999917,1000000,-83,2809,14992,982199,-0.008,0.281,1.499,98.22,17801,
fastp,gen_n1000000_l170_merged.fq,1000000,170,999923,1000000,-77,3797,197687,798516,-0.008,0.38,19.769,79.852,201484,
fastp,gen_n1000000_l171_merged.fq,1000000,171,999914,1000000,-86,3839,199066,797095,-0.009,0.384,19.907,79.71,202905,
fastp,gen_n1000000_l172_merged.fq,1000000,172,999922,999999,-77,3869,200935,795195,-0.008,0.387,20.093,79.519,204804,
fastp,gen_n1000000_l173_merged.fq,1000000,173,999927,1000000,-73,3900,202152,793948,-0.007,0.39,20.215,79.395,206052,
fastp,gen_n1000000_l174_merged.fq,1000000,174,999914,1000000,-86,3937,203070,792993,-0.009,0.394,20.307,79.299,207007,
fastp,gen_n1000000_l175_merged.fq,1000000,175,999925,1000000,-75,3857,203990,792153,-0.007,0.386,20.399,79.215,207847,
fastp,gen_n1000000_l176_merged.fq,1000000,176,999930,1000000,-70,4078,206137,789785,-0.007,0.408,20.614,78.978,210215,
fastp,gen_n1000000_l177_merged.fq,1000000,177,999920,1000000,-80,4052,208098,787850,-0.008,0.405,20.81,78.785,212150,
fastp,gen_n1000000_l178_merged.fq,1000000,178,999916,1000000,-84,4207,209746,786047,-0.008,0.421,20.975,78.605,213953,
fastp,gen_n1000000_l179_merged.fq,1000000,179,999920,1000000,-80,4216,210936,784848,-0.008,0.422,21.094,78.485,215152,
fastp,gen_n1000000_l17_merged.fq,1000000,17,999905,999999,-94,2268,15994,981737,-0.009,0.227,1.599,98.174,18262,
fastp,gen_n1000000_l180_merged.fq,1000000,180,999915,1000000,-85,4352,211896,783752,-0.009,0.435,21.19,78.375,216248,
fastp,gen_n1000000_l181_merged.fq,1000000,181,999924,1000000,-76,4324,213856,781820,-0.008,0.432,21.386,78.182,218180,
