program,filename,nfrags,fraglen,total_sequences,total_reads,dropped_reads,incorrect_length,correct_len_incorrect_seq,perfectly_reconstructed,dropped_reads_percentage,incorrect_length_percentage,correct_len_incorrect_seq_percentage,perfectly_reconstructed_percentage,divergent_reads,
ClipAndMerge,gen_n1000000_l163_merged.fq,1000000,163,999933,854536,145397,1844,108525,744167,14.54,0.184,10.852,74.417,110369,
ClipAndMerge,gen_n1000000_l164_merged.fq,1000000,164,999915,851442,148473,1827,109711,739904,14.847,0.183,10.971,73.99,111538,
ClipAndMerge,gen_n1000000_l165_merged.fq,1000000,165,999917,848812,151105,2054,110777,735981,15.11,0.205,11.078,73.598,112831,
ClipAndMerge,gen_n1000000_l166_merged.fq,1000000,166,999915,846786,153129,1937,112423,732426,15.313,0.194,11.242,73.243,114360,
ClipAndMerge,gen_n1000000_l167_merged.fq,1000000,167,999913,845177,154736,2121,114267,728789,15.474,0.212,11.427,72.879,116388,
ClipAndMerge,gen_n1000000_l168_merged.fq,1000000,168,999917,841752,158165,1949,115424,724379,15.816,0.195,11.542,72.438,117373,
ClipAndMerge,gen_n1000000_l169_merged.fq,1000000,169,999922,839370,160552,1940,116718,720712,16.055,0.194,11.672,72.071,118658,
ClipAndMerge,gen_n1000000_l16_merged.fq,1000000,16,999917,959003,40914,141,10,958852,4.091,0.014,0.001,95.885,151,
ClipAndMerge,gen_n1000000_l170_merged.fq,1000000,170,999923,837263,162660,2254,118100,716909,16.266,0.225,11.81,71.691,120354,
ClipAndMerge,gen_n1000000_l171_merged.fq,1000000,171,999914,834157,165757,2199,119538,712420,16.576,0.22,11.954,71.242,121737,
ClipAndMerge,gen_n1000000_l172_merged.fq,1000000,172,999922,831704,168218,2052,121206,708446,16.822,0.205,12.121,70.845,123258,
ClipAndMerge,gen_n1000000_l173_merged.fq,1000000,173,999927,829875,170052,2085,122819,704971,17.005,0.209,12.282,70.497,124904,
ClipAndMerge,gen_n1000000_l174_merged.fq,1000000,174,999914,826285,173629,2109,123409,700767,17.363,0.211,12.341,70.077,125518,
ClipAndMerge,gen_n1000000_l175_merged.fq,1000000,175,999925,824841,175084,2291,124533,698017,17.508,0.229,12.453,69.802,126824,
ClipAndMerge,gen_n1000000_l176_merged.fq,1000000,176,999930,821560,178370,2330,126352,692878,17.837,0.233,12.635,69.288,128682,
ClipAndMerge,gen_n1000000_l177_merged.fq,1000000,177,999920,821104,178816,2254,128032,690818,17.882,0.225,12.803,69.082,130286,
ClipAndMerge,gen_n1000000_l178_merged.fq,1000000,178,999916,817325,182591,2282,129320,685723,18.259,0.228,12.932,68.572,131602,
ClipAndMerge,gen_n1000000_l179_merged.fq,1000000,179,999920,816686,183234,2386,130903,683397,18.323,0.239,13.09,68.34,133289,
ClipAndMerge,gen_n1000000_l17_merged.fq,1000000,17,999905,956475,43430,137,20,956318,4.343,0.014,0.002,95.632,157,
ClipAndMerge,gen_n1000000_l180_merged.fq,1000000,180,999915,813478,186437,2642,132137,678699,18.644,0.264,13.214,67.87,134779,
ClipAndMerge,gen_n1000000_l181_merged.fq,1000000,181,999924,811311,188613,2710,133375,675226,18.861,0.271,13.337,67.523,136085,
ClipAndMerge,gen_n1000000_l182_merged.fq,1000000,182,999910,809205,190705,2642,134797,671766,19.071,0.264,13.48,67.177,137439,
ClipAndMerge,gen_n1000000_l183_merged.fq,1000000,183,999924,806171,193753,2699,135733,667739,19.375,0.27,13.573,66.774,138432,
ClipAndMerge,gen_n1000000_l184_merged.fq,1000000,184,999926,804064,195862,2611,137287,664166,19.586,0.261,13.729,66.417,139898,
ClipAndMerge,gen_n1000000_l185_merged.fq,1000000,185,999927,802994,196933,2874,139114,661006,19.693,0.287,13.911,66.101,141988,
ClipAndMerge,gen_n1000000_l186_merged.fq,1000000,186,999915,799376,200539,2887,140116,656373,20.054,0.289,14.012,65.637,143003,
ClipAndMerge,gen_n1000000_l187_merged.fq,1000000,187,999925,797366,202559,2738,141366,653262,20.256,0.274,14.137,65.326,144104,
ClipAndMerge,gen_n1000000_l188_merged.fq,1000000,188,999917,795029,204888,2691,142764,649574,20.489,0.269,14.276,64.957,145455,
ClipAndMerge,gen_n1000000_l189_merged.fq,1000000,189,999930,792991,206939,2761,143826,646404,20.694,0.276,14.383,64.64,146587,
ClipAndMerge,gen_n1000000_l18_merged.fq,1000000,18,999914,953890,46024,123,8,953759,4.602,0.012,0.001,95.376,131,
ClipAndMerge,gen_n1000000_l190_merged.fq,1000000,190,999924,791334,208590,3176,146064,642094,20.859,0.318,14.606,64.209,149240,
ClipAndMerge,gen_n1000000_l191_merged.fq,1000000,191,999921,786542,213379,3031,146540,636971,21.338,0.303,14.654,63.697,149571,
ClipAndMerge,gen_n1000000_l192_merged.fq,1000000,192,999907,783699,216208,3040,148473,632186,21.621,0.304,14.847,63.219,151513,
ClipAndMerge,gen_n1000000_l193_merged.fq,1000000,193,999920,782178,217742,2930,148906,630342,21.774,0.293,14.891,63.034,151836,
ClipAndMerge,gen_n1000000_l194_merged.fq,1000000,194,999925,780442,219483,2950,150011,627481,21.948,0.295,15.001,62.748,152961,
ClipAndMerge,gen_n1000000_l195_merged.fq,1000000,195,999921,778051,221870,3205,152203,622643,22.187,0.321,15.22,62.264,155408,
ClipAndMerge,gen_n1000000_l196_merged.fq,1000000,196,999940,776104,223836,3064,153776,619264,22.384,0.306,15.378,61.926,156840,
ClipAndMerge,gen_n1000000_l197_merged.fq,1000000,197,999919,773712,226207,2994,155136,615582,22.621,0.299,15.514,61.558,158130,
ClipAndMerge,gen_n1000000_l198_merged.fq,1000000,198,999913,771431,228482,3053,156417,611961,22.848,0.305,15.642,61.196,159470,
ClipAndMerge,gen_n1000000_l199_merged.fq,1000000,199,999921,769432,230489,2864,158611,607957,23.049,0.286,15.861,60.796,161475,
ClipAndMerge,gen_n1000000_l19_merged.fq,1000000,19,999898,951285,48613,143,19,951123,4.861,0.014,0.002,95.112,162,
ClipAndMerge,gen_n1000000_l1_merged.fq,1000000,1,999924,0,999924,0,0,0,99.992,0.0,0.0,0.0,0,
ClipAndMerge,gen_n1000000_l200_merged.fq,1000000,200,999912,767756,232156,3295,159465,604996,23.216,0.33,15.947,60.5,162760,
ClipAndMerge,gen_n1000000_l201_merged.fq,1000000,201,999934,764408,235526,3192,160663,600553,23.553,0.319,16.066,60.055,163855,
ClipAndMerge,gen_n1000000_l202_merged.fq,1000000,202,999919,762736,237183,3157,162607,596972,23.718,0.316,16.261,59.697,165764,
ClipAndMerge,gen_n1000000_l203_merged.fq,1000000,203,999910,760198,239712,3175,163943,593080,23.971,0.318,16.394,59.308,167118,
ClipAndMerge,gen_n1000000_l204_merged.fq,1000000,204,999907,758299,241608,3289,165566,589444,24.161,0.329,16.557,58.944,168855,
ClipAndMerge,gen_n1000000_l205_merged.fq,1000000,205,999929,756244,243685,3611,167383,585250,24.369,0.361,16.738,58.525,170994,
ClipAndMerge,gen_n1000000_l206_merged.fq,1000000,206,999928,754875,245053,3464,168168,583243,24.505,0.346,16.817,58.324,171632,
ClipAndMerge,gen_n1000000_l207_merged.fq,1000000,207,999924,753126,246798,3531,169938,579657,24.68,0.353,16.994,57.966,173469,
ClipAndMerge,gen_n1000000_l208_merged.fq,1000000,208,999926,749982,249944,3348,171965,574669,24.994,0.335,17.197,57.467,175313,
ClipAndMerge,gen_n1000000_l209_merged.fq,1000000,209,999910,748002,251908,3415,173267,571320,25.191,0.342,17.327,57.132,176682,
ClipAndMerge,gen_n1000000_l20_merged.fq,1000000,20,999917,998754,1163,3,4170,994581,0.116,0.0,0.417,99.458,4173,
ClipAndMerge,gen_n1000000_l210_merged.fq,1000000,210,999916,747014,252902,3876,174991,568147,25.29,0.388,17.499,56.815,178867,
ClipAndMerge,gen_n1000000_l211_merged.fq,1000000,211,999931,733780,266151,3798,173041,556941,26.615,0.38,17.304,55.694,176839,
ClipAndMerge,gen_n1000000_l212_merged.fq,1000000,212,999910,732688,267222,3680,174820,554188,26.722,0.368,17.482,55.419,178500,
