program,filename,nfrags,fraglen,total_sequences,total_reads,dropped_reads,avg_divergence_per_nt,edit_distances
bbmerge,gen_n1000000_l177_merged.fq,1000000,177,999904,969669,30331,0.095,0:819158 1:138343 2:11539 3:605 4:22 5:2
bbmerge,gen_n1000000_l178_merged.fq,1000000,178,999922,969820,30180,0.096,0:817592 1:139970 2:11571 3:657 4:27 5:3
bbmerge,gen_n1000000_l179_merged.fq,1000000,179,999910,969966,30034,0.097,0:815773 1:141456 2:12020 3:684 4:32 5:1
bbmerge,gen_n1000000_l17_merged.fq,1000000,17,999908,930066,69934,0.001,0:929975 1:91
bbmerge,gen_n1000000_l180_merged.fq,1000000,180,999911,971388,28612,0.098,0:814317 1:143801 2:12512 3:723 4:34 5:1
bbmerge,gen_n1000000_l181_merged.fq,1000000,181,999920,970702,29298,0.099,0:811236 1:145708 2:13006 3:713 4:38 5:1
bbmerge,gen_n1000000_l182_merged.fq,1000000,182,999911,970585,29415,0.1,0:809651 1:146912 2:13221 3:768 4:32 5:1
bbmerge,gen_n1000000_l183_merged.fq,1000000,183,999919,970144,29856,0.1,0:807501 1:148240 2:13557 3:810 4:35 5:1
bbmerge,gen_n1000000_l184_merged.fq,1000000,184,999927,969493,30507,0.101,0:804700 1:150087 2:13809 3:852 4:44 5:1
bbmerge,gen_n1000000_l185_merged.fq,1000000,185,999927,969792,30208,0.102,0:802684 1:152171 2:14062 3:837 4:38
bbmerge,gen_n1000000_l186_merged.fq,1000000,186,999918,969591,30409,0.103,0:799998 1:153937 2:14713 3:903 4:40
bbmerge,gen_n1000000_l187_merged.fq,1000000,187,999921,969920,30080,0.104,0:797895 1:155994 2:15054 3:916 4:58 5:3
bbmerge,gen_n1000000_l188_merged.fq,1000000,188,999937,968790,31210,0.105,0:794969 1:157384 2:15361 3:1023 4:51 5:2
bbmerge,gen_n1000000_l189_merged.fq,1000000,189,999926,968523,31477,0.106,0:792034 1:159535 2:15807 3:1089 4:57 5:1
bbmerge,gen_n1000000_l18_merged.fq,1000000,18,999896,930663,69337,0.001,0:930499 1:164
