program,filename,nfrags,fraglen,total_sequences,total_reads,dropped_reads,incorrect_length_reads,divergent_reads,average_divergence,dropped_reads_percentage,incorrect_length_percentage,divergent_reads_percentage,average_divergence_percentage,perfectly_reconstructed,perfectly_reconstructed_percentage
AdapterRemoval,gen_n1000000_l47_ar2.collapsed.gz,1000000,47,1000000,1000000,0,0,9914,0.009976,0.0,0.0,0.991,0.021,990086,99.009
AdapterRemoval,gen_n1000000_l48_ar2.collapsed.gz,1000000,48,1000000,1000000,0,0,10127,0.010169,0.0,0.0,1.013,0.021,989873,98.987
AdapterRemoval,gen_n1000000_l49_ar2.collapsed.gz,1000000,49,1000000,1000000,0,0,10192,0.010233,0.0,0.0,1.019,0.021,989808,98.981
AdapterRemoval,gen_n1000000_l4_ar2.collapsed.gz,1000000,4,1000000,1000000,0,0,1852,0.001853,0.0,0.0,0.185,0.046,998148,99.815
AdapterRemoval,gen_n1000000_l50_ar2.collapsed.gz,1000000,50,1000000,1000000,0,0,10588,0.010639,0.0,0.0,1.059,0.021,989412,98.941
AdapterRemoval,gen_n1000000_l51_ar2.collapsed.gz,1000000,51,1000000,1000000,0,0,10765,0.010829,0.0,0.0,1.077,0.021,989235,98.924
AdapterRemoval,gen_n1000000_l52_ar2.collapsed.gz,1000000,52,1000000,1000000,0,0,10866,0.010932,0.0,0.0,1.087,0.021,989134,98.913
AdapterRemoval,gen_n1000000_l53_ar2.collapsed.gz,1000000,53,1000000,1000000,0,0,11143,0.011198,0.0,0.0,1.114,0.021,988857,98.886
AdapterRemoval,gen_n1000000_l54_ar2.collapsed.gz,1000000,54,1000000,1000000,0,0,11433,0.01151,0.0,0.0,1.143,0.021,988567,98.857
AdapterRemoval,gen_n1000000_l55_ar2.collapsed.gz,1000000,55,1000000,1000000,0,0,11565,0.011639,0.0,0.0,1.157,0.021,988435,98.843
AdapterRemoval,gen_n1000000_l56_ar2.collapsed.gz,1000000,56,1000000,1000000,0,0,11737,0.011809,0.0,0.0,1.174,0.021,988263,98.826
AdapterRemoval,gen_n1000000_l57_ar2.collapsed.gz,1000000,57,1000000,1000000,0,0,11977,0.012053,0.0,0.0,1.198,0.021,988023,98.802
AdapterRemoval,gen_n1000000_l58_ar2.collapsed.gz,1000000,58,1000000,1000000,0,0,12135,0.012211,0.0,0.0,1.214,0.021,987865,98.787
AdapterRemoval,gen_n1000000_l59_ar2.collapsed.gz,1000000,59,1000000,1000000,0,0,12478,0.012554,0.0,0.0,1.248,0.021,987522,98.752
AdapterRemoval,gen_n1000000_l5_ar2.collapsed.gz,1000000,5,1000000,1000000,0,0,2154,0.002154,0.0,0.0,0.215,0.043,997846,99.785
AdapterRemoval,gen_n1000000_l60_ar2.collapsed.gz,1000000,60,1000000,1000000,0,0,12555,0.012631,0.0,0.0,1.256,0.021,987445,98.745
AdapterRemoval,gen_n1000000_l61_ar2.collapsed.gz,1000000,61,1000000,1000000,0,0,12867,0.012953,0.0,0.0,1.287,0.021,987133,98.713
AdapterRemoval,gen_n1000000_l62_ar2.collapsed.gz,1000000,62,1000000,1000000,0,0,12940,0.013015,0.0,0.0,1.294,0.021,987060,98.706
