program,type,qs1,qs2,new_nt,new_qs
AdapterRemoval,match,8,21,s1,32
AdapterRemoval,match,8,22,s1,33
AdapterRemoval,match,8,23,s1,35
AdapterRemoval,match,8,24,s1,36
AdapterRemoval,match,8,25,s1,37
AdapterRemoval,match,8,26,s1,38
AdapterRemoval,match,8,27,s1,39
AdapterRemoval,match,8,28,s1,40
AdapterRemoval,match,8,29,s1,41
AdapterRemoval,match,8,30,s1,42
AdapterRemoval,match,8,31,s1,43
AdapterRemoval,match,8,32,s1,44
AdapterRemoval,match,8,33,s1,45
AdapterRemoval,match,8,34,s1,46
AdapterRemoval,match,8,35,s1,47
AdapterRemoval,match,8,36,s1,48
AdapterRemoval,match,8,37,s1,49
AdapterRemoval,match,8,38,s1,50
AdapterRemoval,match,8,39,s1,51
AdapterRemoval,match,8,40,s1,52
AdapterRemoval,match,8,41,s1,53
AdapterRemoval,match,9,0,s1,9
AdapterRemoval,match,9,1,s1,9
AdapterRemoval,match,9,2,s1,11
AdapterRemoval,match,9,3,s1,13
AdapterRemoval,match,9,4,s1,15
AdapterRemoval,match,9,5,s1,16
AdapterRemoval,match,9,6,s1,17
AdapterRemoval,match,9,7,s1,19
AdapterRemoval,match,9,8,s1,20
AdapterRemoval,match,9,9,s1,21
AdapterRemoval,match,9,10,s1,22
AdapterRemoval,match,9,11,s1,23
AdapterRemoval,match,9,12,s1,24
AdapterRemoval,match,9,13,s1,25
AdapterRemoval,match,9,14,s1,27
AdapterRemoval,match,9,15,s1,28
AdapterRemoval,match,9,16,s1,29
AdapterRemoval,match,9,17,s1,30
AdapterRemoval,match,9,18,s1,31
AdapterRemoval,match,9,19,s1,32
AdapterRemoval,match,9,20,s1,33
AdapterRemoval,match,9,21,s1,34
AdapterRemoval,match,9,22,s1,35
AdapterRemoval,match,9,23,s1,36
AdapterRemoval,match,9,24,s1,37
AdapterRemoval,match,9,25,s1,38
AdapterRemoval,match,9,26,s1,39
AdapterRemoval,match,9,27,s1,40
AdapterRemoval,match,9,28,s1,41
AdapterRemoval,match,9,29,s1,42
AdapterRemoval,match,9,30,s1,43
AdapterRemoval,match,9,31,s1,44
AdapterRemoval,match,9,32,s1,45
AdapterRemoval,match,9,33,s1,46
AdapterRemoval,match,9,34,s1,47
AdapterRemoval,match,9,35,s1,48
AdapterRemoval,match,9,36,s1,49
AdapterRemoval,match,9,37,s1,50
AdapterRemoval,match,9,38,s1,51
AdapterRemoval,match,9,39,s1,52
AdapterRemoval,match,9,40,s1,53
AdapterRemoval,match,9,41,s1,54
AdapterRemoval,match,10,0,s1,9
AdapterRemoval,match,10,1,s1,9
AdapterRemoval,match,10,2,s1,12
AdapterRemoval,match,10,3,s1,14
AdapterRemoval,match,10,4,s1,16
AdapterRemoval,match,10,5,s1,17
AdapterRemoval,match,10,6,s1,19
AdapterRemoval,match,10,7,s1,20
AdapterRemoval,match,10,8,s1,21
AdapterRemoval,match,10,9,s1,22
AdapterRemoval,match,10,10,s1,23
AdapterRemoval,match,10,11,s1,24
AdapterRemoval,match,10,12,s1,26
AdapterRemoval,match,10,13,s1,27
AdapterRemoval,match,10,14,s1,28
AdapterRemoval,match,10,15,s1,29
AdapterRemoval,match,10,16,s1,30
AdapterRemoval,match,10,17,s1,31
AdapterRemoval,match,10,18,s1,32
AdapterRemoval,match,10,19,s1,33
AdapterRemoval,match,10,20,s1,34
AdapterRemoval,match,10,21,s1,35
AdapterRemoval,match,10,22,s1,36
AdapterRemoval,match,10,23,s1,37
AdapterRemoval,match,10,24,s1,38
AdapterRemoval,match,10,25,s1,39
AdapterRemoval,match,10,26,s1,40
AdapterRemoval,match,10,27,s1,41
AdapterRemoval,match,10,28,s1,42
AdapterRemoval,match,10,29,s1,43
AdapterRemoval,match,10,30,s1,44
AdapterRemoval,match,10,31,s1,45
AdapterRemoval,match,10,32,s1,46
AdapterRemoval,match,10,33,s1,47
AdapterRemoval,match,10,34,s1,48
AdapterRemoval,match,10,35,s1,49
AdapterRemoval,match,10,36,s1,50
AdapterRemoval,match,10,37,s1,51
AdapterRemoval,match,10,38,s1,52
AdapterRemoval,match,10,39,s1,53
AdapterRemoval,match,10,40,s1,54
AdapterRemoval,match,10,41,s1,55
AdapterRemoval,match,11,0,s1,10
AdapterRemoval,match,11,1,s1,10
AdapterRemoval,match,11,2,s1,13
AdapterRemoval,match,11,3,s1,15
AdapterRemoval,match,11,4,s1,17
AdapterRemoval,match,11,5,s1,18
AdapterRemoval,match,11,6,s1,20
AdapterRemoval,match,11,7,s1,21
AdapterRemoval,match,11,8,s1,22
AdapterRemoval,match,11,9,s1,23
AdapterRemoval,match,11,10,s1,24
AdapterRemoval,match,11,11,s1,26
AdapterRemoval,match,11,12,s1,27
AdapterRemoval,match,11,13,s1,28
AdapterRemoval,match,11,14,s1,29
AdapterRemoval,match,11,15,s1,30
